raw_reference,stage_1_label,stage_2_extracted_fields,violation_tags,adversarial_reference
"Ratnieks, F.L.W. and Carreck, N.L. (2010) 'Ecology. Clarity on honeybee collapse?', Science 327(5962), pp.152-153.",journal,"{'authors': ['Ratnieks', 'F.L.W.', 'Carreck', 'N.L.'], 'year': '2010', 'title': ""'Ecology"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Ratnieks, F.L.W. and Carreck, N.L. (n.d.) 'Ecology. Clarity on honeybee collapse?', Science 327(n.d.), pp.152-153."
"Blackiston, H. (2020) Beekeeping for Dummies. 5th edn. Newark: Wiley.",book,"{'authors': ['Blackiston', 'H.'], 'year': '2020', 'title': 'Beekeeping for Dummies', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'book'}",[],"Blackiston, H. (2020) Beekeeping for Dummies. 5th edn. Newark: Wiley."
"Gulddal, J. (2020) 'That deep underground savage instinct: narratives of sacrifice and retribution in Agatha Christie's Appointment with Death', Textual Practice, 34(11), pp. 1803-1821.",unknown,"{'authors': ['Gulddal', 'J.'], 'year': '2020', 'title': ""'That deep underground savage instinct: narratives of sacrifice and retribution in Agatha Christie's Appointment with Death', Textual Practice, 34(11), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'unknown'}",[],"Gulddal, J. (2020) 'That deep underground savage instinct: narratives of sacrifice & retribution in Agatha Christie's Appointment with Death', Textual Practice, 34(11), pp. 1803-1821."
"Colah, C. (2015) ‘Understanding LSTM Networks’, Colah’s blog, 27 August. Available at: http://colah.github.io/posts/2015-08-Understanding-LSTMs/ (Accessed: 23 July 2020).",wesite,"{'authors': ['Colah', 'C.'], 'year': '2015', 'title': '‘Understanding LSTM Networks’, Colah’s blog, 27 August', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'http://colah.github.io/posts/2015-08-Understanding-LSTMs/', 'accessed_date': '23 July 2020', 'reference_type': 'wesite'}",['url_without_doi'],"Colah, C (2015) ‘Understanding LSTM Networks’, Colah’s blog, 27 August Available at: http://colahgithubio/posts/2015-08-Understanding-LSTMs/ (Accessed: 23 July 2020)"
"Baldridge, J.V., Curtis, D.V. Euchre, G and Riley, G.L. (2005) Effective Communication Dublin: Gill and Macmillan.",book,"{'authors': ['Baldridge', 'J.V.', 'Curtis', 'D.V. Euchre', 'G', 'Riley', 'G.L.'], 'year': '2005', 'title': 'Effective Communication Dublin: Gill and Macmillan', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'book'}",[],"BALDRIDGE, J.V., CURTIS, D.V. EUCHRE, G AND RILEY, G.L. (2005) EFFECTIVE COMMUNICATION DUBLIN: GILL AND MACMILLAN."
The British Psychological Society (2018) Code of ethics and conduct. Available at: https://www.bps.org.uk/news-and-policy/bps-code-ethics-and-conduct (Accessed: 22 March 2019).,website,"{'authors': ['The British Psychological Society'], 'year': '2018', 'title': 'Code of ethics and conduct', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://www.bps.org.uk/news-and-policy/bps-code-ethics-and-conduct', 'accessed_date': '22 March 2019', 'reference_type': 'website'}",['url_without_doi'],The British Psychological Society (2018) Code of ethics & conduct. Available at: https://www.bps.org.uk/news-and-policy/bps-code-ethics-and-conduct (Accessed: 22 March 2019).
"Ruvinga, S. et al. (2023) 'Identifying queen lessness in honeybee hives from audio signals using machine learning', Electronics (Basel), 12(7), pp.1627.",journal,"{'authors': ['Ruvinga', 'S. et al.'], 'year': '2023', 'title': ""'Identifying queen lessness in honeybee hives from audio signals using machine learning', Electronics (Basel), 12(7), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"RUVINGA, S. ET AL. (2023) 'IDENTIFYING QUEEN LESSNESS IN HONEYBEE HIVES FROM AUDIO SIGNALS USING MACHINE LEARNING', ELECTRONICS (BASEL), 12(7), PP.1627."
"Graham, K. (2020) 'The biggest tree and the smallest axe', The Guardian, 31 August, pp.21-22.",newspaper,"{'authors': ['Graham', 'K.'], 'year': '2020', 'title': ""'The biggest tree and the smallest axe', The Guardian, 31 August, pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'newspaper'}",[],"GRAHAM, K. (2020) 'THE BIGGEST TREE AND THE SMALLEST AXE', THE GUARDIAN, 31 AUGUST, PP.21-22."
"Johnson, B.R. (2009) 'Division of labor in honeybees: form, function, and proximate mechanisms', Behavioral Ecology and Sociobiology, 64(3), pp.305-316. -",journal,"{'authors': ['Johnson', 'B.R.'], 'year': '2009', 'title': ""'Division of labor in honeybees: form, function, and proximate mechanisms', Behavioral Ecology and Sociobiology, 64(3), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Johnson, B.R. (2009) 'Division of labor in honeybees: form, function, and proximate mechanisms', Behavioral Ecology and Sociobiology, 64(3), pp.305-316. -"
"Hambleton, .J. I. (1925) 'The effect of weather upon the change in weight of a colony of bees during the honey flow,’ U.S.Dept.ofAgriculture,1925,.Available at: https://hdl.handle.net/2027/uiug.30112019240354.",website,"{'authors': ['Hambleton', '.J. I.'], 'year': '1925', 'title': ""'The effect of weather upon the change in weight of a colony of bees during the honey flow,’ U"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://hdl.handle.net/2027/uiug.30112019240354.', 'accessed_date': '', 'reference_type': 'website'}","['missing_access_date', 'url_without_doi']","Hambleton, J I (1925) 'The effect of weather upon the change in weight of a colony of bees during the honey flow,’ USDeptofAgriculture,1925,Available at: https://hdlhandlenet/2027/uiug30112019240354"
"Dué C., Lupack S. and Lamberton R. (2020) ‘Homer in a world of song’, in C.O. Pache (ed.) The Cambridge guide to Homer: part I - Homeric song and text. Cambridge University Press. Available at: https://www-cambridge-org.libezproxy.open.ac.uk/core/books/cambridge-gu (Accessed: 27 August 2025).",book,"{'authors': ['Dué C.', 'Lupack S.', 'Lamberton R.'], 'year': '2020', 'title': '‘Homer in a world of song’, in C', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://www-cambridge-org.libezproxy.open.ac.uk/core/books/cambridge-gu', 'accessed_date': '27 August 2025', 'reference_type': 'book'}",['url_without_doi'],"Dué C., Lupack S. & Lamberton R. (2020) ‘Homer in a world of song’, in C.O. Pache (ed.) The Cambridge guide to Homer: part I - Homeric song & text. Cambridge University Press. Available at: https://www-cambridge-org.libezproxy.open.ac.uk/core/books/cambridge-gu (Accessed: 27 August 2025)."
"Colah, C. (2015) ‘Understanding LSTM Networks’, Colah’s blog, 27 August. Available at: http://colah.github.io/posts/2015-08-Understanding-LSTMs/ (Accessed: 23 July 2020).",wesite,"{'authors': ['Colah', 'C.'], 'year': '2015', 'title': '‘Understanding LSTM Networks’, Colah’s blog, 27 August', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'http://colah.github.io/posts/2015-08-Understanding-LSTMs/', 'accessed_date': '23 July 2020', 'reference_type': 'wesite'}",['url_without_doi'],"Colah, C. (2015) ‘Understanding LSTM Networks’, Colah’s blog, 27 August. Available at: http://colah.github.io/posts/2015-08-Understanding-LSTMs/ (Accessed: 23 July 2020)."
"Seeley, T.D. and Buhrman, S.C. (2001) 'Nest-site selection in honeybees: How well do swarms implement the ""Best-of-N"" Decision Rule?', Behavioral Ecology and Sociobiology, 49(5), pp.416-427.",journal,"{'authors': ['Seeley', 'T.D.', 'Buhrman', 'S.C.'], 'year': '2001', 'title': '\'Nest-site selection in honeybees: How well do swarms implement the ""Best-of-N"" Decision Rule?\', Behavioral Ecology and Sociobiology, 49(5), pp', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Seeley, T.D. and Buhrman, S.C. (n.d.) 'Nest-site selection in honeybees: How well do swarms implement the ""Best-of-N"" Decision Rule?', Behavioral Ecology and Sociobiology, 49(5), pp.416-427."
The British Psychological Society (2018) Code of ethics and conduct. Available at: https://www.bps.org.uk/news-and-policy/bps-code-ethics-and-conduct (Accessed: 22 March 2019).,website,"{'authors': ['The British Psychological Society'], 'year': '2018', 'title': 'Code of ethics and conduct', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://www.bps.org.uk/news-and-policy/bps-code-ethics-and-conduct', 'accessed_date': '22 March 2019', 'reference_type': 'website'}",['url_without_doi'],THE BRITISH PSYCHOLOGICAL SOCIETY (2018) CODE OF ETHICS AND CONDUCT. AVAILABLE AT: HTTPS://WWW.BPS.ORG.UK/NEWS-AND-POLICY/BPS-CODE-ETHICS-AND-CONDUCT (ACCESSED: 22 MARCH 2019).
"Forest, C. (2019) Beehives. La Vergne: Weigl Publishers Inc.",book,"{'authors': ['Forest', 'C.'], 'year': '2019', 'title': 'Beehives', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'book'}",[],"Forest, C. (2019) Beehives. La Vergne: Weigl Publishers Inc."
"Deng, M. et al. (2020a) 'Heart sound classification based on improved MFCC features and convolutional recurrent neural networks', Neural Networks,130 pp.22-32.",journal,"{'authors': ['Deng', 'M. et al.'], 'year': '2020a', 'title': ""'Heart sound classification based on improved MFCC features and convolutional recurrent neural networks', Neural Networks,130 pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Deng, M et al (2020a) 'Heart sound classification based on improved MFCC features and convolutional recurrent neural networks', Neural Networks,130 pp22-32"
"Colah, C. (2015) ‘Understanding LSTM Networks’, Colah’s blog, 27 August. Available at: http://colah.github.io/posts/2015-08-Understanding-LSTMs/ (Accessed: 23 July 2020).",wesite,"{'authors': ['Colah', 'C.'], 'year': '2015', 'title': '‘Understanding LSTM Networks’, Colah’s blog, 27 August', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'http://colah.github.io/posts/2015-08-Understanding-LSTMs/', 'accessed_date': '23 July 2020', 'reference_type': 'wesite'}",['url_without_doi'],"Colah, C. (n.d.) ‘Understanding LSTM Networks’, Colah’s blog, 27 August. Available at: http://colah.github.io/posts/2015-08-Understanding-LSTMs/ (Accessed: 23 July 2020)."
"Bromenshenk, J.J., Henderson, C.B., Seccomb, R.A., Rice, S.D. and Etter, R.T. (2009) Honeybee acoustic recording and analysis system for monitoring hive health. Authoring organisation. Available at: http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=7549907 (Accessed: 8 November 2023)",book,"{'authors': ['Bromenshenk', 'J.J.', 'Henderson', 'C.B.', 'Seccomb', 'R.A.', 'Rice', 'S.D.', 'Etter', 'R.T.'], 'year': '2009', 'title': 'Honeybee acoustic recording and analysis system for monitoring hive health', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=7549907', 'accessed_date': '8 November 2023', 'reference_type': 'book'}",['url_without_doi'],"BROMENSHENK, J.J., HENDERSON, C.B., SECCOMB, R.A., RICE, S.D. AND ETTER, R.T. (2009) HONEYBEE ACOUSTIC RECORDING AND ANALYSIS SYSTEM FOR MONITORING HIVE HEALTH. AUTHORING ORGANISATION. AVAILABLE AT: HTTP://PATFT.USPTO.GOV/NETACGI/NPH-PARSER?PATENTNUMBER=7549907 (ACCESSED: 8 NOVEMBER 2023)"
"Lalani, B. (2017) Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique. PhD thesis. Reading University.",thesis,"{'authors': ['Lalani', 'B.'], 'year': '2017', 'title': 'Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'thesis'}",[],"Lalani, B. (2017) Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique. PhD thesis. Reading University."
"Gates, B.N. (1914) The temperature of the bee colony. Washington: U.S. Dept. of Agriculture.",other,"{'authors': ['Gates', 'B.N.'], 'year': '1914', 'title': 'The temperature of the bee colony', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'other'}",[],"Gates, B.N. (n.d.) The temperature of the bee colony. Washington: U.S. Dept. of Agriculture."
"Zgank, A. (2018) 'Acoustic monitoring and classification of bee swarm activity using MFCC feature extraction and HMM acoustic modelling', In Proceedings of the 2018 41st International Convention on Information and Communication Technology, Electronics and Microelectronics (MIPRO). Opatija, Croatia, 21–25 May. IEEE, pp. 0471–0474. Available at:  doi: 10.1109/ELEKTRO.2018.8398253.",conference,"{'authors': ['Zgank', 'A.'], 'year': '2018', 'title': ""'Acoustic monitoring and classification of bee swarm activity using MFCC feature extraction and HMM acoustic modelling', In Proceedings of the 2018 41st International Convention on Information and Communication Technology, Electronics and Microelectronics (MIPRO)"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'conference'}",['missing_access_date'],"Zgank, A. (n.d.) 'Acoustic monitoring and classification of bee swarm activity using MFCC feature extraction and HMM acoustic modelling', In Proceedings of the 2018 41st International Convention on Information and Communication Technology, Electronics and Microelectronics (MIPRO). Opatija, Croatia, 21–25 May. IEEE, pp. 0471–0474. Available at:  doi: 10.1109/ELEKTRO.2018.8398253."
"Lau, C. and Nieh, J. (2010) 'Honeybee stop-signal production: temporal distribution and effect of feeder crowding', Apidologie, 41(1), pp.87-95.",journal,"{'authors': ['Lau', 'C.', 'Nieh', 'J.'], 'year': '2010', 'title': ""'Honeybee stop-signal production: temporal distribution and effect of feeder crowding', Apidologie, 41(1), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Lau, C. & Nieh, J. (2010) 'Honeybee stop-signal production: temporal distribution & effect of feeder crowding', Apidologie, 41(1), pp.87-95."
National Geographic (2024) Honeybee. Available at: https://www.nationalgeographic.com/animals/invertebrates/facts/honeybee (Accessed: 20 August 2020).,website,"{'authors': ['National Geographic'], 'year': '2024', 'title': 'Honeybee', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://www.nationalgeographic.com/animals/invertebrates/facts/honeybee', 'accessed_date': '20 August 2020', 'reference_type': 'website'}",['url_without_doi'],National Geographic (2024) Honeybee. Retrieved from: https://www.nationalgeographic.com/animals/invertebrates/facts/honeybee (Accessed: 20 August 2020).
"Ingle, K.V. and Proakis, G.J. (2007) Digital Signal Processing Using MATLAB. Stamford: Cengage Learning. 'Assessment Report on Pollinators, Pollination and Food Production' (2016) Dec 7. Zenodo.Available at: https://explore.openaire.eu/search/publication?articleId=dedup_wf_001::23642fd54072123c898eda33cfe58ad3.",website,"{'authors': ['Ingle', 'K.V.', 'Proakis', 'G.J.'], 'year': '2007', 'title': 'Digital Signal Processing Using MATLAB', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://explore.openaire.eu/search/publication?articleId=dedup_wf_001::23642fd54072123c898eda33cfe58ad3.', 'accessed_date': '', 'reference_type': 'website'}","['missing_access_date', 'url_without_doi']","INGLE, K.V. AND PROAKIS, G.J. (2007) DIGITAL SIGNAL PROCESSING USING MATLAB. STAMFORD: CENGAGE LEARNING. 'ASSESSMENT REPORT ON POLLINATORS, POLLINATION AND FOOD PRODUCTION' (2016) DEC 7. ZENODO.AVAILABLE AT: HTTPS://EXPLORE.OPENAIRE.EU/SEARCH/PUBLICATION?ARTICLEID=DEDUP_WF_001::23642FD54072123C898EDA33CFE58AD3."
"Lalani, B. (2017) Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique. PhD thesis. Reading University.",thesis,"{'authors': ['Lalani', 'B.'], 'year': '2017', 'title': 'Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'thesis'}",[],"Lalani, B (2017) Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique PhD thesis Reading University"
"Kulyukin, V., Mukherjee, S. and Amlathe, P. (2018) 'Toward audio beehive monitoring: deep learning vs. standard machine learning in classifying beehive audio samples', Applied Sciences, 8(9), pp.1573.",journal,"{'authors': ['Kulyukin', 'V.', 'Mukherjee', 'S.', 'Amlathe', 'P.'], 'year': '2018', 'title': ""'Toward audio beehive monitoring: deep learning vs"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Kulyukin, V., Mukherjee, S. and Amlathe, P. (2018) 'Toward audio beehive monitoring: deep learning vs. standard machine learning in classifying beehive audio samples', Applied Sciences, 8(9), pp.1573."
"Bloomfield, P. (1976) Fourier analysis of time series: An introduction, New York,: John Wiley & Sons.",book,"{'authors': ['Bloomfield', 'P.'], 'year': '1976', 'title': 'Fourier analysis of time series: An introduction, New York,: John Wiley & Sons', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'book'}",[],"BLOOMFIELD, P. (1976) FOURIER ANALYSIS OF TIME SERIES: AN INTRODUCTION, NEW YORK,: JOHN WILEY & SONS."
"Bencsik, M. et al. (2011a) 'Identification of the honeybee swarming process by analysing the time course of hive vibrations', Computers and Electronics in Agriculture, 76(1), pp.44-50.",journal,"{'authors': ['Bencsik', 'M. et al.'], 'year': '2011a', 'title': ""'Identification of the honeybee swarming process by analysing the time course of hive vibrations', Computers and Electronics in Agriculture, 76(1), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Bencsik, M. et al. (2011a) 'Identification of the honeybee swarming process by analysing the time course of hive vibrations', Computers and Electronics in Agriculture, 76(1), pp.44-50."
"Lalani, B. (2017) Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique. PhD thesis. Reading University.",thesis,"{'authors': ['Lalani', 'B.'], 'year': '2017', 'title': 'Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'thesis'}",[],"Lalani, B. (2017) Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique. PhD thesis. Reading University."
"Graham, K. (2020) 'The biggest tree and the smallest axe', The Guardian, 31 August, pp.21-22.",newspaper,"{'authors': ['Graham', 'K.'], 'year': '2020', 'title': ""'The biggest tree and the smallest axe', The Guardian, 31 August, pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'newspaper'}",[],"Graham, K (2020) 'The biggest tree and the smallest axe', The Guardian, 31 August, pp21-22"
"Thomas, D. and Tian, L. (2021) 'Hits from the Bong: the impact of recreational marijuana dispensaries on property values', Regional Science and Urban Economics, 87, article number 103655.",journal,"{'authors': ['Thomas', 'D.', 'Tian', 'L.'], 'year': '2021', 'title': ""'Hits from the Bong: the impact of recreational marijuana dispensaries on property values', Regional Science and Urban Economics, 87, article number 103655"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",['missing_pages'],"Thomas, D. and Tian, L. (n.d.) 'Hits from the Bong: the impact of recreational marijuana dispensaries on property values', Regional Science and Urban Economics, 87, article number 103655."
"O'Mahony, N. (2024) ‘How the course works’, Welcome forum, in A215: Creative writing. Available at: https://learn2.open.ac.uk/mod/forumng/discuss.php?d=4749155 (Accessed: 24 January 2025).",website,"{'authors': [""O'Mahony"", 'N.'], 'year': '2024', 'title': '‘How the course works’, Welcome forum, in A215: Creative writing', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://learn2.open.ac.uk/mod/forumng/discuss.php?d=4749155', 'accessed_date': '24 January 2025', 'reference_type': 'website'}",['url_without_doi'],"O'Mahony, N. (2024) ‘How the course works’, Welcome forum, in A215: Creative writing. Retrieved from: https://learn2.open.ac.uk/mod/forumng/discuss.php?d=4749155 (Accessed: 24 January 2025)."
"Lalani, B. (2017) Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique. PhD thesis. Reading University.",thesis,"{'authors': ['Lalani', 'B.'], 'year': '2017', 'title': 'Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'thesis'}",[],"Lalani, B. (n.d.) Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique. PhD thesis. Reading University."
Dundalk Institute of Technology. (2012). Whitaker Theatre [image online]. Available from: https://www.dkit.ie/about [accessed 5 July 2014].,image,"{'authors': ['Dundalk Institute of Technology.'], 'year': '2012', 'title': '', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://www.dkit.ie/about', 'accessed_date': '', 'reference_type': 'image'}",['url_without_doi'],Dundalk Institute of Technology. (2012). Whitaker Theatre [image online]. Available from: https://www.dkit.ie/about [accessed 5 July 2014].
"Dué C., Lupack S. and Lamberton R. (2020) ‘Homer in a world of song’, in C.O. Pache (ed.) The Cambridge guide to Homer: part I - Homeric song and text. Cambridge University Press. Available at: https://www-cambridge-org.libezproxy.open.ac.uk/core/books/cambridge-gu (Accessed: 27 August 2025).",book,"{'authors': ['Dué C.', 'Lupack S.', 'Lamberton R.'], 'year': '2020', 'title': '‘Homer in a world of song’, in C', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://www-cambridge-org.libezproxy.open.ac.uk/core/books/cambridge-gu', 'accessed_date': '27 August 2025', 'reference_type': 'book'}",['url_without_doi'],"Dué C, Lupack S and Lamberton R (2020) ‘Homer in a world of song’, in CO Pache (ed) The Cambridge guide to Homer: part I - Homeric song and text Cambridge University Press Available at: https://www-cambridge-orglibezproxyopenacuk/core/books/cambridge-gu (Accessed: 27 August 2025)"
"Kitton, J. (2013) Golden sunset. Available at: https://www.jameskittophotography.co.uk/photo_8692150.html (Accessed: 21 November 2021).",image,"{'authors': ['Kitton', 'J.'], 'year': '2013', 'title': 'Golden sunset', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://www.jameskittophotography.co.uk/photo_8692150.html', 'accessed_date': '21 November 2021', 'reference_type': 'image'}",['url_without_doi'],"Kitton, J. (2013) Golden sunset. Available at: https://www.jameskittophotography.co.uk/photo_8692150.html (Accessed: 21 November 2021)."
"Bush, T. (2006). Theories of Childcare. London: Harper Row.",book,"{'authors': ['Bush', 'T.'], 'year': '2006', 'title': '', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'book'}",[],"Bush, T. (2006). Theories of Childcare. London: Harper Row."
"Lalani, B. (2017) Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique. PhD thesis. Reading University.",thesis,"{'authors': ['Lalani', 'B.'], 'year': '2017', 'title': 'Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'thesis'}",[],"Lalani, B. (2017) Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique. PhD thesis. Reading University."
"Burkill, J. (2018) Artificial Neural Networks – Part 2: MLP Implementation for XOr. Available at: http://www.mlopt.com/?p=207 (Accessed: 02 February 2020).",website,"{'authors': ['Burkill', 'J.'], 'year': '2018', 'title': 'Artificial Neural Networks – Part 2: MLP Implementation for XOr', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'http://www.mlopt.com/?p=207', 'accessed_date': '02 February 2020', 'reference_type': 'website'}",['url_without_doi'],"Burkill, J. (2018) Artificial Neural Networks – Part 2: MLP Implementation for XOr. Available at: http://www.mlopt.com/?p=207 (Accessed: 02 February 2020)."
Bureau van Dijk (2025) Tesco plc company report. Available at: http://fame.bvdep.com (Accessed: 27 May 2025).,website,"{'authors': ['Bureau van Dijk'], 'year': '2025', 'title': 'Tesco plc company report', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'http://fame.bvdep.com', 'accessed_date': '27 May 2025', 'reference_type': 'website'}",['url_without_doi'],Bureau van Dijk (2025) Tesco plc company report Available at: http://famebvdepcom (Accessed: 27 May 2025)
MathWorks (2016) Introduction to Machine Learning. Available at: https://www.mathworks.com/content/dam/mathworks/tag-team/Objects/i/88174_92991v00_machine_learning_section1_ebook.pdf (Accessed: 20 June 2020).,ebook,"{'authors': ['MathWorks'], 'year': '2016', 'title': 'Introduction to Machine Learning', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://www.mathworks.com/content/dam/mathworks/tag-team/Objects/i/88174_92991v00_machine_learning_section1_ebook.pdf', 'accessed_date': '20 June 2020', 'reference_type': 'ebook'}",['url_without_doi'],MATHWORKS (2016) INTRODUCTION TO MACHINE LEARNING. AVAILABLE AT: HTTPS://WWW.MATHWORKS.COM/CONTENT/DAM/MATHWORKS/TAG-TEAM/OBJECTS/I/88174_92991V00_MACHINE_LEARNING_SECTION1_EBOOK.PDF (ACCESSED: 20 JUNE 2020).
"Krizhevsky, A., Sutskever, I. and Hinton, G. (2017) 'ImageNet classification with deep convolutional neural networks', Association for Computing Machinery, 6(60), pp. 84-90.",journal,"{'authors': ['Krizhevsky', 'A.', 'Sutskever', 'I.', 'Hinton', 'G.'], 'year': '2017', 'title': ""'ImageNet classification with deep convolutional neural networks', Association for Computing Machinery, 6(60), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"KRIZHEVSKY, A., SUTSKEVER, I. AND HINTON, G. (2017) 'IMAGENET CLASSIFICATION WITH DEEP CONVOLUTIONAL NEURAL NETWORKS', ASSOCIATION FOR COMPUTING MACHINERY, 6(60), PP. 84-90."
