raw_reference,stage_1_label,stage_2_extracted_fields,violation_tags,adversarial_reference
"Forest, C. (2019) Beehives. La Vergne: Weigl Publishers Inc.",book,"{'authors': ['Forest', 'C.'], 'year': '2019', 'title': 'Beehives', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'book'}",[],"Forest, C. (2019) Beehives. La Vergne: Weigl Publishers Inc."
"Nolasco, I., Terenzi, A., Cecchi, S., Orcioni, S., Bear, H.L. and Benetos, E. (2019) ‘Audio-based identification of beehive states’, in ICASSP 2019 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP). Brighton, UK, 12–17 May 2019, pp. 8256–8260. Available at: https://doi.org/10.1109/icassp.2019.8682981 - conference
.",unknown,"{'authors': ['Nolasco', 'I.', 'Terenzi', 'A.', 'Cecchi', 'S.', 'Orcioni', 'S.', 'Bear', 'H.L.', 'Benetos', 'E.'], 'year': '2019', 'title': '‘Audio-based identification of beehive states’, in ICASSP 2019 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://doi.org/10.1109/icassp.2019.8682981', 'accessed_date': '', 'reference_type': 'unknown'}",['missing_access_date'],"Nolasco, I., Terenzi, A., Cecchi, S., Orcioni, S., Bear, H.L. & Benetos, E. (2019) ‘Audio-based identification of beehive states’, in ICASSP 2019 IEEE International Conference on Acoustics, Speech & Signal Processing (ICASSP). Brighton, UK, 12–17 May 2019, pp. 8256–8260. Available at: https://doi.org/10.1109/icassp.2019.8682981 - conference
."
"Lau, C. and Nieh, J. (2010) 'Honeybee stop-signal production: temporal distribution and effect of feeder crowding', Apidologie, 41(1), pp.87-95.",journal,"{'authors': ['Lau', 'C.', 'Nieh', 'J.'], 'year': '2010', 'title': ""'Honeybee stop-signal production: temporal distribution and effect of feeder crowding', Apidologie, 41(1), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Lau, C and Nieh, J (2010) 'Honeybee stop-signal production: temporal distribution and effect of feeder crowding', Apidologie, 41(1), pp87-95"
"Myerscough, M.R. (1993) 'A Simple model for temperature regulation in honeybee swarms', Journal of Theoretical Biology, 162(3), pp.381-393.",journal,"{'authors': ['Myerscough', 'M.R.'], 'year': '1993', 'title': ""'A Simple model for temperature regulation in honeybee swarms', Journal of Theoretical Biology, 162(3), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Myerscough, M.R. (1993) 'A Simple model for temperature regulation in honeybee swarms', Journal of Theoretical Biology, 162(3), pp.381-393."
"Delaplane, K.S. and Mayer, D.F. (2000) Crop pollination by bees. 1st edn. Wallingford, UK: CABI Publishing.",book,"{'authors': ['Delaplane', 'K.S.', 'Mayer', 'D.F.'], 'year': '2000', 'title': 'Crop pollination by bees', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'book'}",[],"Delaplane, K.S. & Mayer, D.F. (2000) Crop pollination by bees. 1st edn. Wallingford, UK: CABI Publishing."
"Neumann, P. and Carreck, N.L. (2010) 'Honeybee colony losses', Journal of Apicultural Research, 49(1), pp.1-6.",journal,"{'authors': ['Neumann', 'P.', 'Carreck', 'N.L.'], 'year': '2010', 'title': ""'Honeybee colony losses', Journal of Apicultural Research, 49(1), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Neumann, P and Carreck, NL (2010) 'Honeybee colony losses', Journal of Apicultural Research, 49(1), pp1-6"
"Proakis, G., John and Manolakis, G., Dimitris (1996) Digital signal processing principles, algorithms, and applications. London: Prentice-Hall International.",book,"{'authors': ['Proakis', 'G.', 'John', 'Manolakis', 'G.', 'Dimitris'], 'year': '1996', 'title': 'Digital signal processing principles, algorithms, and applications', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'book'}",[],"Proakis, G., John and Manolakis, G., Dimitris (1996) Digital signal processing principles, algorithms, and applications. London: Prentice-Hall International."
"Uthoff, C., Homsi, M.N. and von Bergen, M. (2023) 'Acoustic and vibration monitoring of honeybee colonies for beekeeping-relevant aspects of the presence of queen bee and swarming', Computers and Electronics in Agriculture, 205 pp.107589.",journal,"{'authors': ['Uthoff', 'C.', 'Homsi', 'M.N.', 'von Bergen', 'M.'], 'year': '2023', 'title': ""'Acoustic and vibration monitoring of honeybee colonies for beekeeping-relevant aspects of the presence of queen bee and swarming', Computers and Electronics in Agriculture, 205 pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Uthoff, C, Homsi, MN and von Bergen, M (2023) 'Acoustic and vibration monitoring of honeybee colonies for beekeeping-relevant aspects of the presence of queen bee and swarming', Computers and Electronics in Agriculture, 205 pp107589"
"Colah, C. (2015) ‘Understanding LSTM Networks’, Colah’s blog, 27 August. Available at: http://colah.github.io/posts/2015-08-Understanding-LSTMs/ (Accessed: 23 July 2020).",wesite,"{'authors': ['Colah', 'C.'], 'year': '2015', 'title': '‘Understanding LSTM Networks’, Colah’s blog, 27 August', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'http://colah.github.io/posts/2015-08-Understanding-LSTMs/', 'accessed_date': '23 July 2020', 'reference_type': 'wesite'}",['url_without_doi'],"Colah, C. (2015) ‘Understanding LSTM Networks’, Colah’s blog, 27 August. Available at: http://colah.github.io/posts/2015-08-Understanding-LSTMs/ (Accessed: 23 July 2020)."
"Lalani, B. (2017) Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique. PhD thesis. Reading University.",thesis,"{'authors': ['Lalani', 'B.'], 'year': '2017', 'title': 'Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'thesis'}",[],"Lalani, B. (2017) Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique. PhD thesis. Reading University."
"Kitton, J. (2013) Golden sunset. Available at: https://www.jameskittophotography.co.uk/photo_8692150.html (Accessed: 21 November 2021).",image,"{'authors': ['Kitton', 'J.'], 'year': '2013', 'title': 'Golden sunset', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://www.jameskittophotography.co.uk/photo_8692150.html', 'accessed_date': '21 November 2021', 'reference_type': 'image'}",['url_without_doi'],"Kitton, J. (n.d.) Golden sunset. Available at: https://www.jameskittophotography.co.uk/photo_8692150.html (Accessed: 21 November 2021)."
"Baldridge, J.V., Curtis, D.V. Euchre, G and Riley, G.L. (2005) Effective Communication Dublin: Gill and Macmillan.",book,"{'authors': ['Baldridge', 'J.V.', 'Curtis', 'D.V. Euchre', 'G', 'Riley', 'G.L.'], 'year': '2005', 'title': 'Effective Communication Dublin: Gill and Macmillan', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'book'}",[],"BALDRIDGE, J.V., CURTIS, D.V. EUCHRE, G AND RILEY, G.L. (2005) EFFECTIVE COMMUNICATION DUBLIN: GILL AND MACMILLAN."
MathWorks (2016) Introduction to Machine Learning. Available at: https://www.mathworks.com/content/dam/mathworks/tag-team/Objects/i/88174_92991v00_machine_learning_section1_ebook.pdf (Accessed: 20 June 2020).,ebook,"{'authors': ['MathWorks'], 'year': '2016', 'title': 'Introduction to Machine Learning', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://www.mathworks.com/content/dam/mathworks/tag-team/Objects/i/88174_92991v00_machine_learning_section1_ebook.pdf', 'accessed_date': '20 June 2020', 'reference_type': 'ebook'}",['url_without_doi'],MathWorks (2016) Introduction to Machine Learning Available at: https://wwwmathworkscom/content/dam/mathworks/tag-team/Objects/i/88174_92991v00_machine_learning_section1_ebookpdf (Accessed: 20 June 2020)
"Mullin, C.A. et al. (2010) 'High levels of miticides and agrochemicals in North American Apiaries: Implications for honey bee health', PLoS ONE, 5(3), pp.e9754.",journal,"{'authors': ['Mullin', 'C.A. et al.'], 'year': '2010', 'title': ""'High levels of miticides and agrochemicals in North American Apiaries: Implications for honey bee health', PLoS ONE, 5(3), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Mullin, C.A. et al. (2010) 'High levels of miticides & agrochemicals in North American Apiaries: Implications for honey bee health', PLoS ONE, 5(3), pp.e9754."
"Boys, R. (1999) “Beekeeping in a nutshellListen to the Bees”, Available at https://beedata.com.mirror.hiveeyes.org/data2/listen/listenbees.htm [Last accessed 18 October 2020]",website,"{'authors': ['Boys', 'R.'], 'year': '1999', 'title': '“Beekeeping in a nutshellListen to the Bees”, Available at https://beedata', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://beedata.com.mirror.hiveeyes.org/data2/listen/listenbees.htm', 'accessed_date': '', 'reference_type': 'website'}",['url_without_doi'],"Boys, R. (1999) “Beekeeping in a nutshellListen to the Bees”, Available at https://beedata.com.mirror.hiveeyes.org/data2/listen/listenbees.htm [Last accessed 18 October 2020]"
"Lalani, B. (2017) Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique. PhD thesis. Reading University.",thesis,"{'authors': ['Lalani', 'B.'], 'year': '2017', 'title': 'Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'thesis'}",[],"Lalani, B. (2017) Economics & adoption of conservation agriculture in Cabo Delgado, Mozambique. PhD thesis. Reading University."
"Hewitt, M. (2023) The Victorians: a very short introduction. Oxford Academic. Available at: https://doi-org.libezproxy.open.ac.uk/10.1093/actrade/9780198736813.00",ebook,"{'authors': ['Hewitt', 'M.'], 'year': '2023', 'title': 'The Victorians: a very short introduction', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://doi-org.libezproxy.open.ac.uk/10.1093/actrade/9780198736813.00', 'accessed_date': '', 'reference_type': 'ebook'}",['missing_access_date'],"Hewitt, M (2023) The Victorians: a very short introduction Oxford Academic Available at: https://doi-orglibezproxyopenacuk/101093/actrade/978019873681300"
"Dué C., Lupack S. and Lamberton R. (2020) ‘Homer in a world of song’, in C.O. Pache (ed.) The Cambridge guide to Homer: part I - Homeric song and text. Cambridge University Press. Available at: https://www-cambridge-org.libezproxy.open.ac.uk/core/books/cambridge-gu (Accessed: 27 August 2025).",book,"{'authors': ['Dué C.', 'Lupack S.', 'Lamberton R.'], 'year': '2020', 'title': '‘Homer in a world of song’, in C', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://www-cambridge-org.libezproxy.open.ac.uk/core/books/cambridge-gu', 'accessed_date': '27 August 2025', 'reference_type': 'book'}",['url_without_doi'],"Dué C., Lupack S. & Lamberton R. (2020) ‘Homer in a world of song’, in C.O. Pache (ed.) The Cambridge guide to Homer: part I - Homeric song & text. Cambridge University Press. Available at: https://www-cambridge-org.libezproxy.open.ac.uk/core/books/cambridge-gu (Accessed: 27 August 2025)."
"Davis, I. and Cullum-Kenyon, R. (2018) The BBKA guide to beekeeping. 2nd edn. London: Bloomsbury Wildlife.",book,"{'authors': ['Davis', 'I.', 'Cullum-Kenyon', 'R.'], 'year': '2018', 'title': 'The BBKA guide to beekeeping', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'book'}",[],"Davis, I. and Cullum-Kenyon, R. (n.d.) The BBKA guide to beekeeping. 2nd edn. London: Bloomsbury Wildlife."
"Mohamed,A.(2014) Deep neural network acoustic models for ASR.Available at: http://hdl.handle.net/1807/44123 (Accessed:29 October 2022).",website,"{'authors': ['Mohamed', 'A.'], 'year': '2014', 'title': 'Deep neural network acoustic models for ASR', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'http://hdl.handle.net/1807/44123', 'accessed_date': '29 October 2022', 'reference_type': 'website'}",['url_without_doi'],"Mohamed,A.(2014) Deep neural network acoustic models for ASR.Retrieved from: http://hdl.handle.net/1807/44123 (Accessed:29 October 2022)."
"Howard, D. et al (2018) 'A low-cost multi-modal sensor network for the monitoring of honeybee colonies/hives' |Intelligent Environments 2018. Amsterdam, Netherlands 2018. Available at: https://eprints.kingston.ac.uk/id/eprint/41328.",conference,"{'authors': ['Howard', 'D. et al'], 'year': '2018', 'title': ""'A low-cost multi-modal sensor network for the monitoring of honeybee colonies/hives' |Intelligent Environments 2018"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://eprints.kingston.ac.uk/id/eprint/41328.', 'accessed_date': '', 'reference_type': 'conference'}","['missing_access_date', 'url_without_doi']","HOWARD, D. ET AL (2018) 'A LOW-COST MULTI-MODAL SENSOR NETWORK FOR THE MONITORING OF HONEYBEE COLONIES/HIVES' |INTELLIGENT ENVIRONMENTS 2018. AMSTERDAM, NETHERLANDS 2018. AVAILABLE AT: HTTPS://EPRINTS.KINGSTON.AC.UK/ID/EPRINT/41328."
"Bencsik, M. et al. (2011a) 'Identification of the honeybee swarming process by analysing the time course of hive vibrations', Computers and Electronics in Agriculture, 76(1), pp.44-50.",journal,"{'authors': ['Bencsik', 'M. et al.'], 'year': '2011a', 'title': ""'Identification of the honeybee swarming process by analysing the time course of hive vibrations', Computers and Electronics in Agriculture, 76(1), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Bencsik, M. et al. (2011a) 'Identification of the honeybee swarming process by analysing the time course of hive vibrations', Computers and Electronics in Agriculture, 76(1), pp.44-50."
"Graham, K. (2020) 'The biggest tree and the smallest axe', The Guardian, 31 August, pp.21-22.",newspaper,"{'authors': ['Graham', 'K.'], 'year': '2020', 'title': ""'The biggest tree and the smallest axe', The Guardian, 31 August, pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'newspaper'}",[],"GRAHAM, K. (2020) 'THE BIGGEST TREE AND THE SMALLEST AXE', THE GUARDIAN, 31 AUGUST, PP.21-22."
MathWorks (2020) Mfcc  Available at: https://uk.mathworks.com/help/audio/ref/mfcc.html (Accessed: 6 November 2023).,website,"{'authors': ['MathWorks'], 'year': '2020', 'title': 'Mfcc  Available at: https://uk', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://uk.mathworks.com/help/audio/ref/mfcc.html', 'accessed_date': '6 November 2023', 'reference_type': 'website'}",['url_without_doi'],MathWorks (n.d.) Mfcc  Available at: https://uk.mathworks.com/help/audio/ref/mfcc.html (Accessed: 6 November 2023).
"Bell, J. (2014) Doing your research project. Open University Press.",book,"{'authors': ['Bell', 'J.'], 'year': '2014', 'title': 'Doing your research project', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'book'}",['missing_place'],"Bell, J. (n.d.) Doing your research project. Open University Press."
Statistica (2024) How to identify patterns in time series data: Time series analysis. Available at: http://www.statsoft.com/textbook/time-series-analysis#systematic.(Accessed:07 November 2019).,website,"{'authors': ['Statistica'], 'year': '2024', 'title': 'How to identify patterns in time series data: Time series analysis', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'http://www.statsoft.com/textbook/time-series-analysis#systematic.(Accessed:07', 'accessed_date': '07 November 2019', 'reference_type': 'website'}",['url_without_doi'],Statistica (2024) How to identify patterns in time series data: Time series analysis. Available at: http://www.statsoft.com/textbook/time-series-analysis#systematic.(Accessed:07 November 2019).
"Budge, G.E. et al. (2020) 'Chronic bee paralysis as a serious emerging threat to honeybees', Nature Communications, 11(1), pp.2164.",journal,"{'authors': ['Budge', 'G.E. et al.'], 'year': '2020', 'title': ""'Chronic bee paralysis as a serious emerging threat to honeybees', Nature Communications, 11(1), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Budge, GE et al (2020) 'Chronic bee paralysis as a serious emerging threat to honeybees', Nature Communications, 11(1), pp2164"
"Lee, K.Y. et al. (2017) 'Pollination efficiency of honeybees (Apis mellifera L.) and bumblebees (Bombus terrestris L.) in different cultivars of Asian Pear (Pyrus pyrifolia Nakai)', Journal of Apiculture, 32(4), pp.303-314.",journal,"{'authors': ['Lee', 'K.Y. et al.'], 'year': '2017', 'title': ""'Pollination efficiency of honeybees (Apis mellifera L"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"LEE, K.Y. ET AL. (2017) 'POLLINATION EFFICIENCY OF HONEYBEES (APIS MELLIFERA L.) AND BUMBLEBEES (BOMBUS TERRESTRIS L.) IN DIFFERENT CULTIVARS OF ASIAN PEAR (PYRUS PYRIFOLIA NAKAI)', JOURNAL OF APICULTURE, 32(4), PP.303-314."
Scientific Advisory Committee on Nutrition (2016) Vitamin D and health. Available at: https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/537616/SACN_Vitamin_D_and_Health_report.pdf (Accessed: 25 July 2025).,other,"{'authors': ['Scientific Advisory Committee on Nutrition'], 'year': '2016', 'title': 'Vitamin D and health', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/537616/SACN_Vitamin_D_and_Health_report.pdf', 'accessed_date': '25 July 2025', 'reference_type': 'other'}",['url_without_doi'],SCIENTIFIC ADVISORY COMMITTEE ON NUTRITION (2016) VITAMIN D AND HEALTH. AVAILABLE AT: HTTPS://ASSETS.PUBLISHING.SERVICE.GOV.UK/GOVERNMENT/UPLOADS/SYSTEM/UPLOADS/ATTACHMENT_DATA/FILE/537616/SACN_VITAMIN_D_AND_HEALTH_REPORT.PDF (ACCESSED: 25 JULY 2025).
"Gulddal, J. (2020) 'That deep underground savage instinct: narratives of sacrifice and retribution in Agatha Christie's Appointment with Death', Textual Practice, 34(11), pp. 1803-1821.",unknown,"{'authors': ['Gulddal', 'J.'], 'year': '2020', 'title': ""'That deep underground savage instinct: narratives of sacrifice and retribution in Agatha Christie's Appointment with Death', Textual Practice, 34(11), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'unknown'}",[],"Gulddal, J. (2020) 'That deep underground savage instinct: narratives of sacrifice & retribution in Agatha Christie's Appointment with Death', Textual Practice, 34(11), pp. 1803-1821."
"Olah, C.(2015) ‘Understanding LSTM Networks’ Colah’s blog 27August. Available at: http://colah.github.io/posts/2015-08-Understanding-LSTMs/ (Accessed: 18 January 2023).",website,"{'authors': ['Olah', 'C.'], 'year': '2015', 'title': '‘Understanding LSTM Networks’ Colah’s blog 27August', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'http://colah.github.io/posts/2015-08-Understanding-LSTMs/', 'accessed_date': '18 January 2023', 'reference_type': 'website'}",['url_without_doi'],"Olah, C.(2015) ‘Understanding LSTM Networks’ Colah’s blog 27August. Available at: http://colah.github.io/posts/2015-08-Understanding-LSTMs/ (Accessed: 18 January 2023)."
"Gates, B.N. (1914) The temperature of the bee colony. Washington: U.S. Dept. of Agriculture.",other,"{'authors': ['Gates', 'B.N.'], 'year': '1914', 'title': 'The temperature of the bee colony', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'other'}",[],"Gates, B.N. (1914) The temperature of the bee colony. Washington: U.S. Dept. of Agriculture."
"Colah, C. (2015) ‘Understanding LSTM Networks’, Colah’s blog, 27 August. Available at: http://colah.github.io/posts/2015-08-Understanding-LSTMs/ (Accessed: 23 July 2020).",wesite,"{'authors': ['Colah', 'C.'], 'year': '2015', 'title': '‘Understanding LSTM Networks’, Colah’s blog, 27 August', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'http://colah.github.io/posts/2015-08-Understanding-LSTMs/', 'accessed_date': '23 July 2020', 'reference_type': 'wesite'}",['url_without_doi'],"Colah, C. (n.d.) ‘Understanding LSTM Networks’, Colah’s blog, 27 August. Available at: http://colah.github.io/posts/2015-08-Understanding-LSTMs/ (Accessed: 23 July 2020)."
"Hambleton, .J. I. (1925) 'The effect of weather upon the change in weight of a colony of bees during the honey flow,’ U.S.Dept.ofAgriculture,1925,.Available at: https://hdl.handle.net/2027/uiug.30112019240354.",website,"{'authors': ['Hambleton', '.J. I.'], 'year': '1925', 'title': ""'The effect of weather upon the change in weight of a colony of bees during the honey flow,’ U"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://hdl.handle.net/2027/uiug.30112019240354.', 'accessed_date': '', 'reference_type': 'website'}","['missing_access_date', 'url_without_doi']","Hambleton, J I (1925) 'The effect of weather upon the change in weight of a colony of bees during the honey flow,’ USDeptofAgriculture,1925,Available at: https://hdlhandlenet/2027/uiug30112019240354"
"Phillips, E.F. (1903) 'A Review of Parthenogenesis', In Proceedings of the American Philosophical Society, 42(174), pp.275-345.",unknown,"{'authors': ['Phillips', 'E.F.'], 'year': '1903', 'title': ""'A Review of Parthenogenesis', In Proceedings of the American Philosophical Society, 42(174), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'unknown'}",[],"PHILLIPS, E.F. (1903) 'A REVIEW OF PARTHENOGENESIS', IN PROCEEDINGS OF THE AMERICAN PHILOSOPHICAL SOCIETY, 42(174), PP.275-345."
"McEwan, I. (2002). Atonement [audiobook]. New York: HarperCollins.",book,"{'authors': ['McEwan', 'I.'], 'year': '2002', 'title': '', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'book'}",[],"McEwan, I (2002) Atonement [audiobook] New York: HarperCollins"
"Davis, N (2025) 'Scientists claim to have unlocked ‘secret sauce’ needed for fine chocolate', The Guardian, 18 August. Available at: https://www.theguardian.com/science/2025/aug/18/scientists-claim-to-hav… (Accessed: 19 August 2025).",newspaper,"{'authors': ['Davis', 'N'], 'year': '2025', 'title': ""'Scientists claim to have unlocked ‘secret sauce’ needed for fine chocolate', The Guardian, 18 August"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://www.theguardian.com/science/2025/aug/18/scientists-claim-to-hav…', 'accessed_date': '19 August 2025', 'reference_type': 'newspaper'}",['url_without_doi'],"Davis, N (n.d.) 'Scientists claim to have unlocked ‘secret sauce’ needed for fine chocolate', The Guardian, 18 August. Available at: https://www.theguardian.com/science/2025/aug/18/scientists-claim-to-hav… (Accessed: 19 August 2025)."
"Delaplane, K.S. and Mayer, D.F. (2000) Crop pollination by bees. 1st edn. Wallingford, UK: CABI Publishing.",book,"{'authors': ['Delaplane', 'K.S.', 'Mayer', 'D.F.'], 'year': '2000', 'title': 'Crop pollination by bees', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'book'}",[],"DELAPLANE, K.S. AND MAYER, D.F. (2000) CROP POLLINATION BY BEES. 1ST EDN. WALLINGFORD, UK: CABI PUBLISHING."
"Kitton, J. (2013) Golden sunset. Available at: https://www.jameskittophotography.co.uk/photo_8692150.html (Accessed: 21 November 2021).",image,"{'authors': ['Kitton', 'J.'], 'year': '2013', 'title': 'Golden sunset', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://www.jameskittophotography.co.uk/photo_8692150.html', 'accessed_date': '21 November 2021', 'reference_type': 'image'}",['url_without_doi'],"KITTON, J. (2013) GOLDEN SUNSET. AVAILABLE AT: HTTPS://WWW.JAMESKITTOPHOTOGRAPHY.CO.UK/PHOTO_8692150.HTML (ACCESSED: 21 NOVEMBER 2021)."
Dundalk Institute of Technology. (2012). Whitaker Theatre [image online]. Available from: https://www.dkit.ie/about [accessed 5 July 2014].,image,"{'authors': ['Dundalk Institute of Technology.'], 'year': '2012', 'title': '', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://www.dkit.ie/about', 'accessed_date': '', 'reference_type': 'image'}",['url_without_doi'],DUNDALK INSTITUTE OF TECHNOLOGY. (2012). WHITAKER THEATRE [IMAGE ONLINE]. AVAILABLE FROM: HTTPS://WWW.DKIT.IE/ABOUT [ACCESSED 5 JULY 2014].
"Bishop, C.M. (1995) Neural networks for pattern recognition.  Oxford: Clarendon Press.",book,"{'authors': ['Bishop', 'C.M.'], 'year': '1995', 'title': 'Neural networks for pattern recognition', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'book'}",[],"BISHOP, C.M. (1995) NEURAL NETWORKS FOR PATTERN RECOGNITION.  OXFORD: CLARENDON PRESS."
"Abou-Shaara, H. et al. (2017) 'A review of impacts of temperature and relative humidity on various activities of honeybees', Insectes Sociaux, 64(4), pp.455-463.",journal,"{'authors': ['Abou-Shaara', 'H. et al.'], 'year': '2017', 'title': ""'A review of impacts of temperature and relative humidity on various activities of honeybees', Insectes Sociaux, 64(4), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Abou-Shaara, H. et al. (n.d.) 'A review of impacts of temperature and relative humidity on various activities of honeybees', Insectes Sociaux, 64(4), pp.455-463."
